Competitor Id,Competitor Name,Market,Product Name,Category Name,Sales Volume,Revenue,Profit Margin,Customer Satisfaction,Marketing Channel,Promotion Strategy,Shipping Efficiency,Return Rate,Customer Loyalty Index,Advertising Budget,Competitor Store Type,Product Availability
7,Premier Distributors,Pacific Asia,Bag Boy Beverage Holder,Men's Footwear,28875,471668.93,18.32,63,PPC,Loyalty Programs,3.02,0.36,91,7020.95,Online,81.72
50,Delta Store,Europe,Industrial consumer electronics,As Seen on  TV!,15264,224232.72,11.77,81,SEO,Loyalty Programs,4.59,0.19,53,48402.27,Online,77.22
16,Alpha Store,Europe,Perfect Fitness Perfect Rip Deck,Women's Clothing,9888,106841.97,11.01,53,Social Media,Bundle Offers,9.74,2.05,84,45335.33,Hybrid,74.21
10,Elite Retailers,LATAM,TaylorMade Women's RBZ SL Rescue,CDs ,26001,273795.54,20.15,86,Affiliate,Flash Sales,3.31,5.17,75,31360.73,Physical,95.67
35,Omega Market,Africa,TaylorMade 2014 Purelite Stand Bag,Women's Golf Clubs,20824,383781.43,22.37,53,Affiliate,Discounts,3.73,9.65,100,32357.66,Physical,89.41
26,Omega Store,Europe,Bushnell Pro X7 Jolt Slope Rangefinder,Soccer,27895,286433.36,23.75,78,Social Media,,5.28,5.14,94,24217.86,Hybrid,86.35
32,Gamma Distributors,USCA,Titleist Club Glove Travel Cover,Men's Footwear,14258,73028.52,5.16,58,Content Marketing,Discounts,1.35,4.81,50,8950.15,Hybrid,72.44
1,Elite Traders,Africa,Titleist Pro V1 High Numbers Personalized Gol,Shop By Sport,45657,60433.46,9.78,86,Content Marketing,Bundle Offers,8.94,5.61,67,39170.39,Physical,88.26
7,Premier Shop,Europe,Glove It Women's Imperial Golf Glove,Basketball,37787,271866.8,12.58,59,PPC,Flash Sales,4.24,8.83,60,22987.92,Hybrid,99.56
3,Premier Traders,Pacific Asia,Children's heaters,Computers,20108,373069.58,23.03,86,Content Marketing,Loyalty Programs,8.07,5.37,56,37739.08,Online,83.42
23,Epsilon Mart,Africa,Nike Men's CJ Elite 2 TD Football Cleat,Trade-In,49781,348038.71,17.53,60,SEO,Loyalty Programs,1.98,0.09,82,43968.23,Hybrid,94.22
26,Alpha Shop,Europe,Merrell Women's Grassbow Sport Waterproof Hik,Golf Shoes,47014,480209.79,15.61,66,Social Media,Bundle Offers,9.28,6.02,85,39724.04,Hybrid,89.73
50,Delta Shop,LATAM,Men's gala suit,Women's Clothing,49099,482491.91,9.9,100,Content Marketing,Loyalty Programs,1.12,6.66,87,44698.18,Hybrid,90.84
2,Gamma Store,USCA,Under Armour Men's Compression EV SL Slide,Camping & Hiking,14578,91478.19,16.3,76,SEO,Flash Sales,7.72,6.6,55,13739.01,Hybrid,74.54
28,Alpha Distributors,USCA,CDs of rock,Health and Beauty,24270,83917.23,12.37,53,Content Marketing,,8.38,2.43,75,28985.45,Physical,70.44
29,Epsilon Retailers,USCA,Top Flite Women's 2014 XL Hybrid,Basketball,9513,430834.36,16.11,62,Content Marketing,Loyalty Programs,2.57,8.32,90,48135.9,Online,79.72
31,Elite Outlet,Europe,Bridgestone e6 Straight Distance NFL Carolina,DVDs,1750,373502.44,24.33,56,SEO,Flash Sales,8.61,0.66,74,15498.75,Online,85.14
33,Gamma Traders,Europe,Fighting video games,Boxing & MMA,37948,119939.22,22.32,74,Affiliate,Bundle Offers,5.52,1.55,64,29183.72,Online,92.89
17,Premier Store,LATAM,Nike Men's CJ Elite 2 TD Football Cleat,Trade-In,14429,116761.63,13.73,94,PPC,Loyalty Programs,2.0,7.42,88,8890.97,Hybrid,96.13
13,Global Retailers,Europe,Field & Stream Sportsman 16 Gun Fire Safe,Video Games,16863,71226.45,5.52,62,PPC,Discounts,5.58,6.84,77,22886.84,Physical,85.27
25,Alpha Shop,Europe,Under Armour Girls' Toddler Spine Surge Runni,Fishing,22464,457920.18,10.7,95,PPC,,3.81,4.23,67,47697.29,Online,83.55
23,Beta Retailers,LATAM,Team Golf New England Patriots Putter Grip,DVDs,12183,121070.82,9.36,97,SEO,Discounts,6.04,9.85,72,25342.71,Physical,73.53
34,Gamma Traders,USCA,Team Golf New England Patriots Putter Grip,Trade-In,16266,235824.62,6.97,93,Social Media,Loyalty Programs,4.43,8.96,75,37970.42,Hybrid,83.6
7,Epsilon Shop,Pacific Asia,Pelican Sunstream 100 Kayak,As Seen on  TV!,28476,95143.56,12.89,57,Social Media,Bundle Offers,6.68,6.17,99,34325.02,Physical,92.95
3,Omega Market,Europe,Smart watch ,Cardio Equipment,7885,497851.56,6.51,62,Affiliate,Flash Sales,7.87,4.59,65,45429.08,Physical,80.06
