Sale Id,Order Id,Customer Id,Sale Date,Payment Method,Transaction Amount,Discount Applied,Tax Amount,Return Status,Return Date,Sales Channel,Sales Representative,Order Region
S772029717,77202,20755,2018-02-05 22:56:00,Bank Transfer,65.55,2.62,5.24,No,,Online,Rep-469,Southeast Asia
S772023687,77202,20755,2018-02-11 22:56:00,Credit Card,65.55,2.62,5.24,No,,Wholesale,Rep-173,Southeast Asia
S772028032,77202,20755,2018-02-02 22:56:00,Bank Transfer,65.55,2.62,5.24,Yes,2018-02-14 22:56:00,In-Store,Rep-730,Southeast Asia
S772025040,77202,20755,2018-02-11 22:56:00,Credit Card,65.55,2.62,5.24,No,,Wholesale,Rep-875,Southeast Asia
S772022049,77202,20755,2018-02-12 22:56:00,Cash,65.55,2.62,5.24,No,,In-Store,Rep-236,Southeast Asia
S759392752,75939,19492,2018-02-11 12:27:00,PayPal,327.75,16.39,26.22,Yes,2018-03-11 12:27:00,Wholesale,Rep-406,South Asia
S759382490,75938,19491,2018-02-08 12:06:00,PayPal,109.25,6.01,8.74,No,,In-Store,Rep-135,South Asia
S759389589,75938,19491,2018-02-02 12:06:00,Credit Card,109.25,6.01,8.74,No,,In-Store,Rep-166,South Asia
S759389552,75938,19491,2018-01-23 12:06:00,PayPal,109.25,6.01,8.74,No,,In-Store,Rep-746,South Asia
S759371689,75937,19490,2018-01-28 11:45:00,Bank Transfer,81.94,5.74,6.56,No,,Online,Rep-188,Oceania
S759372747,75937,19490,2018-02-10 11:45:00,Bank Transfer,81.94,5.74,6.56,Yes,2018-03-09 11:45:00,In-Store,Rep-340,Oceania
S759378702,75937,19490,2018-01-21 11:45:00,Bank Transfer,81.94,5.74,6.56,No,,In-Store,Rep-959,Oceania
S759378462,75937,19490,2018-01-15 11:45:00,Cash,81.94,5.74,6.56,No,,Online,Rep-590,Oceania
S759365021,75936,19489,2018-01-28 11:24:00,Cash,81.94,7.38,6.56,Yes,2018-02-21 11:24:00,Wholesale,Rep-668,Oceania
S759366588,75936,19489,2018-01-18 11:24:00,Bank Transfer,81.94,7.38,6.56,Yes,2018-02-09 11:24:00,Wholesale,Rep-324,Oceania
S759363825,75936,19489,2018-01-14 11:24:00,PayPal,81.94,7.38,6.56,No,,In-Store,Rep-993,Oceania
S759368480,75936,19489,2018-01-27 11:24:00,Bank Transfer,81.94,7.38,6.56,No,,Wholesale,Rep-329,Oceania
S759356686,75935,19488,2018-02-05 11:03:00,Cash,163.88,16.39,13.11,No,,In-Store,Rep-910,Oceania
S759355321,75935,19488,2018-02-05 11:03:00,PayPal,163.88,16.39,13.11,No,,Wholesale,Rep-424,Oceania
S759348121,75934,19487,2018-01-22 10:42:00,PayPal,327.75,39.33,26.22,No,,Online,Rep-126,Eastern Asia
S759331819,75933,19486,2018-01-14 10:21:00,Credit Card,163.88,21.31,13.11,No,,Online,Rep-668,Eastern Asia
S759333026,75933,19486,2018-01-24 10:21:00,Bank Transfer,163.88,21.31,13.11,Yes,2018-01-30 10:21:00,Online,Rep-488,Eastern Asia
S759321866,75932,19485,2018-01-19 10:00:00,Credit Card,163.88,24.58,13.11,Yes,2018-01-26 10:00:00,In-Store,Rep-697,Eastern Asia
S759324356,75932,19485,2018-01-28 10:00:00,Credit Card,163.88,24.58,13.11,No,,In-Store,Rep-942,Eastern Asia
S759317855,75931,19484,2018-01-21 09:39:00,Cash,327.75,52.44,26.22,Yes,2018-02-05 09:39:00,Online,Rep-102,Eastern Asia
S759309542,75930,19483,2018-02-08 09:18:00,PayPal,163.88,27.86,13.11,No,,In-Store,Rep-457,Eastern Asia
S759301123,75930,19483,2018-01-15 09:18:00,Cash,163.88,27.86,13.11,Yes,2018-01-20 09:18:00,Wholesale,Rep-181,Eastern Asia
S759294029,75929,19482,2018-01-19 08:57:00,Credit Card,163.88,29.5,13.11,Yes,2018-01-25 08:57:00,In-Store,Rep-966,Southeast Asia
S759293991,75929,19482,2018-01-26 08:57:00,PayPal,163.88,29.5,13.11,Yes,2018-02-21 08:57:00,In-Store,Rep-653,Southeast Asia
S759287824,75928,19481,2018-02-10 08:36:00,Credit Card,163.88,32.78,13.11,Yes,2018-02-17 08:36:00,Wholesale,Rep-583,Southeast Asia
S759289509,75928,19481,2018-02-11 08:36:00,Bank Transfer,163.88,32.78,13.11,No,,In-Store,Rep-468,Southeast Asia
S759272614,75927,19480,2018-01-31 08:15:00,Bank Transfer,109.25,27.31,8.74,Yes,2018-02-26 08:15:00,Wholesale,Rep-791,South Asia
